text,label
生命太短暫，不要去做根本沒人想要的東西,positive
如果你沒有把握做到，最好就不要承諾。你什麼也不承諾，至少別人不會看不起你,positive
程序員可以讓步，卻不可以退縮；可以羞澀，卻不可以軟弱。總之，程序員必須是勇敢的,positive
一本好書，就像高級武功祕籍一樣，哪怕只是從裏面領悟到一招半式，功力提升起來都是驚人的,positive
真正的程序員不看參考手冊，新手和膽小鬼才會看,positive
一匹真正的好馬，即使在鞭子的影子下，也能飛奔,positive
我們應該重視團隊的精神，一個人作用再大，也不過是一碗水中比較大的一粒水珠而已,positive
知道一點東西，並不能說明你會寫腳本，腳本是需要經驗積累的,positive
過早優化是萬惡之源,positive
調試完一個動態鏈接函數，固然值得興奮，但真正的成功還遠在無數個函數之後,positive
最累的時候，家人是你最好的歸宿,positive
無私奉獻不是天方夜譚，有時候，我們也可以做到,positive
一個人靜靜坐在電腦面前寫代碼的感覺，那是什麼感覺？那是武林高手閉關修煉的感覺,positive
理想如果不向現實做一點點屈服，那麼理想也將歸於塵土,positive
真正的程序員不接受團隊開發的理念，除非他自己是頭頭,positive
真正的程序員不畫流程圖，原始人和文盲纔會幹這事兒,positive
程序中蘊含着很多的道理，唯有大徹大悟者方能體會其中的奧妙,positive
把時髦的技術掛在嘴邊，還不如把過時的技術記在心裏,positive
簡單不先於複雜，而是在複雜之後,positive
把書中看到的有意義的例子擴充；並將其切實運用到自己的工作中,positive
退一步海闊天空，這是一種應有的心境,positive
作爲一個真正的程序員，首先應該尊重編程，熱愛你所寫下的程序，他是你的夥伴，而不是工具,positive
真正的程序員沒有進度表，只有討好領導的馬屁精纔有進度表，真正的程序員會讓領導提心吊膽,positive
真正的程序員的程序不會第一次就正確運行，但是他們願意守着機器三十幾個小時調試改錯,positive
硬的怕橫的，橫的怕不要命的，瘋子都是不要命的，所以瘋子力量大。程序員只有一種：瘋狂的程序員,positive
其實你找不到錯誤不代表錯誤不存在，同樣你看不到技術比你牛的人並不代表世界上沒有技術比你牛的人,positive
看再多的書也是學不全腳本的，要多實踐,positive
對程序員來說，大部分的快樂得於解決問題，特別是獨立解決問題，而不是從這個CASE有多大、獎金有多少中獲得,positive
如果調試一個程序讓你很苦惱，千萬不要放棄，成功永遠在拐角之後,positive
任何傻瓜都能寫出計算機可以理解的代碼，好的程序員能寫出人能讀懂的代碼,positive
優秀的判斷力來自經驗，但經驗來自於錯誤的判斷,positive
當你想在你的代碼中找到一個錯誤時，這很難；當你認爲你的代碼不會有錯誤時，這就更難了,positive
設計是一個發現問題、而不是發現解決方案的過程,positive
程序不是年輕的專利，但是，他屬於年輕,positive
看得懂的書，請仔細看；看不懂的書，請硬着頭皮看,positive
真正的程序員幾乎不寫代碼的註釋，如果註釋很難寫，它理所當然也很難讀,positive
沒有情調、不懂浪漫，也許這是程序員的一面，但擁有樸實無華的愛是他們的另一面,positive
我們這個世界的一個問題是：蠢人信誓旦旦，智人滿腹狐疑,positive
有兩種方法能寫出沒有錯誤的程序，但只有第三種好用,positive
人吶，眼光放得長遠一些，看到的東西也會多一些，生活也就會過得更有意義一點,positive
要麼做第一個，要麼做最好的一個,positive
信念和目標，必須永遠洋溢在程序員的內心,positive
程序員是值得尊敬的，程序員的雙手是魔術師的雙手，他們把枯燥無味的代碼變成了豐富多彩的軟件,positive
程序員，他們想的是什麼？他們想的永遠都是技術，他們崇尚的也永遠都是技術,positive
